Ticker,Percentage Change (%),Performance
MRNA,1108.5811902320315,Top 10
TSLA,734.7986801218835,Top 10
ENPH,488.42004608861015,Top 10
NVDA,407.56675389662877,Top 10
ETSY,354.64043724354246,Top 10
FCX,278.19818107679964,Top 10
BBWI,271.2068393796107,Top 10
GNRC,234.90684905921069,Top 10
FTNT,217.90914380548853,Top 10
AMD,215.44679682305517,Top 10
NCLH,-59.92571859760248,Bottom 10
CCL,-52.2398311542908,Bottom 10
LVS,-43.056193512572904,Bottom 10
UAL,-40.60160629347506,Bottom 10
VTRS,-36.694676137635064,Bottom 10
VNO,-36.62763808340598,Bottom 10
BA,-36.01030235578989,Bottom 10
T,-34.50292373941338,Bottom 10
RCL,-33.19098052836228,Bottom 10
AAL,-32.749630646629555,Bottom 10
